title,body,rating,review,sentiment,clean_review,char_count,word_count,sentence_count,avg_word_length,unique_word_count,stopword_count,exclamation_count,question_count,uppercase_word_count,vader_score,emoji_list,emoji_count,noun_count,verb_count,adj_count
Cheated,Don't received  handset ejection  pin  and manual.,1,Cheated Don't received  handset ejection  pin  and manual.,negative,cheat receiv handset eject pin manual,58,8,1,6.0,8,2,0,0,0,-0.5106,[],0,3,2,1
Dont buy samsung m12 mobile,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,1,Dont buy samsung m12 mobile very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,negative,dont buy samsung mobil poor build qualityveri poor camera piclow qualiti phoneno return policyveri worst mobilejust make fool custom samsung amazon,175,27,0,5.518518518518518,24,4,0,0,0,-0.9152,[],0,9,3,5
Good one in this price segment.,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,5,Good one in this price segment. Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,positive,good one price segment unbox phone seem better one price segment check camera voic seem good one thing heavi weight may due batteri hope samsung live upto expect,261,48,5,4.458333333333333,39,20,0,0,0,0.5927,[],0,12,5,5
Hitting issue,Hitting issue,1,Hitting issue Hitting issue,negative,hit issu hit issu,27,4,0,6.0,2,0,0,0,0,0.0,[],0,2,2,0
Worst product with cheap quality material.,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,1,Worst product with cheap quality material. Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,negative,worst product cheap qualiti materi worst product low qualiti never expect kind product samsung even though high end config look way camera utterli disappoint never seen kind mobil recent past buy product bare return refund option accord return polici replac disappoint even advis wast money product,477,78,6,5.128205128205129,62,33,0,0,0,-0.9423,[],0,21,13,7
Below average,"Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",1,"Below average Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",negative,averag good batteri heat charg use mobil data camera averag mp true look like mp heavi weight thick okay mah display good phone rage term technolog display ratio overal averag price,308,54,4,4.722222222222222,44,20,0,0,0,0.3493,[],0,19,3,7
"RUBBISH PHONE, WANT MY MONEY BACK","PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",1,"RUBBISH PHONE, WANT MY MONEY BACK PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",negative,rubbish phone want money back phone total rubbish slowest respond camera good abruptli close youtub applic phone utter wast camera qualiti bad happi product want money back,275,46,5,4.978260869565218,37,18,0,0,22,-0.0513,[],0,8,4,8
Perfect phone with this price,"This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",5,"Perfect phone with this price This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",positive,perfect phone price perfect phone good speed decent spec outstand batteri life look devic also attract trust compani,183,31,3,4.935483870967742,28,12,0,0,0,0.9661,[],0,11,1,5
Not recommended for Jiofiber users,"Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",1,"Not recommended for Jiofiber users Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",negative,recommend jiofib user disappoint samsung manufactur ghz support mobil cost newer day valu mobil also support dual band purchas samsung mobil support ghz band manufactur mobil support dual band shame cheat amazon mention detail product suggest buy use jiofib wifi,455,71,6,5.408450704225352,59,25,0,0,2,0.0498,[],0,15,12,6
Very poor performance,Dislike,1,Very poor performance Dislike,negative,poor perform dislik,29,4,0,6.5,4,1,0,0,0,-0.7397,[],0,2,0,1
Very bad self camera,Self camera is just like 2 mega pixels.,1,Very bad self camera Self camera is just like 2 mega pixels.,negative,bad self camera self camera like mega pixel,60,12,1,4.083333333333333,11,3,0,0,0,-0.3167,[],0,5,0,2
"Not So impressive,okay okay.Little over price","The media could not be loaded.
                




   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category",3,"Not So impressive,okay okay.Little over price The media could not be loaded.
                




   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category",neutral,impress okay okay littl price media could load unbox samsungm unbox samsung galaxi samsunggalaxym unbox videonot impress mobil samsung current direct compet lgk moto g g peopl want purchas mobil go mobil market actor endors mobil rememb g come henc get much discount g mobil mobil manufactur clear stock need inform g mobil support g band g mobil support g take exampl purchas mobil today month may need chang g mobil henc cost per month cost matter get high exchang valu even cost current g yet come india may yearend come high cost point rememb purchas mobil mobil band support dual wi fi support better graphic ppi matter henc check ppi valu mobil directli relat mobil display colour qualiti higher better check mobil camera f valu lower valu higher pictur qualiti less best mostli camera qualiti depend focal valu pixel android upgrad support import mobil useless within year rememb want mobil upgrad android item weight height mobil lower better realli matter get pain hold mobil long time special old peopl mobil resolut higher better screen refresh rate higher better clean android instal also import manufactur forc instal retain app pro batteri fulli test yet android v oper system one ui nm power effici exyno octa core ghz hz screen refresh ratesamsung brand non chines galaxi store supportdolbi atmo support current audio test go onm con p screen resolutionno ar support arcor absentresolut x pixel resolut low graphic ppi ppi colour gram dimens x x cmlcdpre instal bloatwar uninstal need disablehigh mobil f valu f headphon backcov extra accessori uodat three day batteri still go hour daili voic call whatsapp mostli standbi power monster batteri categori,2536,391,26,5.421994884910486,262,105,0,0,20,0.9915,[],0,99,51,27
Not a good budget phone,"Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..",2,"Not a good budget phone Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..",negative,good budget phone product specif par display averag camera qualiti okay doesnt support ghz wifi mention anywher pleas make sure buy,213,33,4,5.484848484848484,30,14,0,0,0,0.2242,[],0,8,4,5
Samsung UI/UX is the worst,"The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.",1,"Samsung UI/UX is the worst The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.",negative,samsung ui ux worst user experi pathet cheap phone fill brim bloatwar remov better get mi phone far better uialso return garbag phone samsung list softwar issu look instal lineag os de googl phone use easier said done,421,75,4,4.626666666666667,60,36,0,0,2,0.0121,[],0,13,13,8
Poor from Samsung,Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.,1,Poor from Samsung Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.,negative,poor samsung name sake cam batteri mp mah come realiti poor weight phone also almost gm smart phone hard phone top menu bar besid front cam respond sometim,260,53,4,3.9245283018867925,43,23,0,0,0,-0.817,[],0,10,2,8
Horrible product from samsung,Horrible product,1,Horrible product from samsung Horrible product,negative,horribl product samsung horribl product,46,6,0,6.833333333333333,4,1,0,0,0,-0.7906,[],0,2,0,3
It's a budget package. A good phone to buy in the ₹ 10k bracket.,"A very satisfying  experience with the device so  far.Pros:1. Long battery life-  I am a moderate  user who does everything  except gaming. That said , the battery lasts up to 2 full days.2. Decent cameras for the price. Pictures are satisfactory but could be better.3. Very responsive finger print sensor.4. Good sound quality, although dolby's impact  is not much pronounced5. UI is great and snappy. Lots of customization options.6. The display is good and smooth with 90hz refresh rate. It does make the difference.7. Fast charging works fine.Cons:1. The weight of the phone is on the heavier side @ 220 gms2. The display could have been a full HD+ @ 1080p3. No led notification light. All though there are apps that can do the job on an AMOLED screen.Overall, a good package.",5,"It's a budget package. A good phone to buy in the ₹ 10k bracket. A very satisfying  experience with the device so  far.Pros:1. Long battery life-  I am a moderate  user who does everything  except gaming. That said , the battery lasts up to 2 full days.2. Decent cameras for the price. Pictures are satisfactory but could be better.3. Very responsive finger print sensor.4. Good sound quality, although dolby's impact  is not much pronounced5. UI is great and snappy. Lots of customization options.6. The display is good and smooth with 90hz refresh rate. It does make the difference.7. Fast charging works fine.Cons:1. The weight of the phone is on the heavier side @ 220 gms2. The display could have been a full HD+ @ 1080p3. No led notification light. All though there are apps that can do the job on an AMOLED screen.Overall, a good package.",positive,budget packag good phone buy k bracket satisfi experi devic far pro long batteri life moder user everyth except game said batteri last full day decent camera price pictur satisfactori could better respons finger print sensor good sound qualiti although dolbi impact much pronounc ui great snappi lot custom option display good smooth hz refresh rate make differ fast charg work fine con weight phone heavier side gm display could full hd p led notif light though app job amol screen overal good packag,845,146,26,4.7534246575342465,114,59,0,0,6,0.9748,[],0,42,11,20
Disappointed,"Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.",1,"Disappointed Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.",negative,disappoint good mobil quit heavi weight obvious feel weight gm far exceed accept rang definit use paperweight noth special screen processor camera also market gimmick samsung stay away k deserv far better,320,50,9,5.42,46,18,0,0,0,0.6242,[],0,11,6,4
Good battery but average performance,Pros:1. The biggest advantage for buying this phone is the battery life. 2.Going to the body of phone it is a very greatly built it comes with the matte finish it makes the phone Look really good.Cons1. You are choosing this phone because of the four cameras then you are wrong. Because it doesn’t give any clarity even it is with the selfie camera also. the camera is not up to the mark.2. The processor is also not up to the mark because when I use this phone for 2 to 3 days in starting I just saw off in different apps and sometimes it was struggling3.The display is also not up to the markSo my general suggestion is if you’re choosing this phone for general use with having a good battery back up then you can go with itbut if you are choosing this phone because of seeing the quad cameras then you’ll be left with nothing.Thank youI hope you all will like my review,3,Good battery but average performance Pros:1. The biggest advantage for buying this phone is the battery life. 2.Going to the body of phone it is a very greatly built it comes with the matte finish it makes the phone Look really good.Cons1. You are choosing this phone because of the four cameras then you are wrong. Because it doesn’t give any clarity even it is with the selfie camera also. the camera is not up to the mark.2. The processor is also not up to the mark because when I use this phone for 2 to 3 days in starting I just saw off in different apps and sometimes it was struggling3.The display is also not up to the markSo my general suggestion is if you’re choosing this phone for general use with having a good battery back up then you can go with itbut if you are choosing this phone because of seeing the quad cameras then you’ll be left with nothing.Thank youI hope you all will like my review,neutral,good batteri averag perform pro biggest advantag buy phone batteri life go bodi phone greatli built come matt finish make phone look realli good con choos phone four camera wrong give clariti even selfi camera also camera mark processor also mark use phone day start saw differ app sometim struggl display also markso gener suggest choos phone gener use good batteri back go itbut choos phone see quad camera left noth thank youi hope like review,909,171,11,4.321637426900585,99,92,0,0,2,0.93,[],0,33,20,10
Worst Samsung phone,"This is Samsung's worst phone and it hs many glitches. Samsung doesn't even cleverly keep this phone on exchange deal because it wants to push this flop phone. The settings screen automatically come on home screen randomly on any other thing that is playing. Its camera is less than mediocre. Sound quality is bad. Only redeeming feature is battery life but then who wants long battery is everything else substandard. I want to return this but there is no such option. I want to exchange it for another model but there is ni such option either. I think Amazon and Samsung are taking us for a ride. We customers must raise our voice against such malpractices. Amazon is also allowing substandard, unverified sellers to peddle junk with misleading photos and information.",1,"Worst Samsung phone This is Samsung's worst phone and it hs many glitches. Samsung doesn't even cleverly keep this phone on exchange deal because it wants to push this flop phone. The settings screen automatically come on home screen randomly on any other thing that is playing. Its camera is less than mediocre. Sound quality is bad. Only redeeming feature is battery life but then who wants long battery is everything else substandard. I want to return this but there is no such option. I want to exchange it for another model but there is ni such option either. I think Amazon and Samsung are taking us for a ride. We customers must raise our voice against such malpractices. Amazon is also allowing substandard, unverified sellers to peddle junk with misleading photos and information.",negative,worst samsung phone samsung worst phone hs mani glitch samsung even cleverli keep phone exchang deal want push flop phone set screen automat come home screen randomli thing play camera less mediocr sound qualiti bad redeem featur batteri life want long batteri everyth els substandard want return option want exchang anoth model ni option either think amazon samsung take us ride custom must rais voic malpractic amazon also allow substandard unverifi seller peddl junk mislead photo inform,789,134,11,4.895522388059701,97,57,0,0,3,-0.8758,[],0,30,20,15
Worst camera,Camera is very poor.. though they mentioned 48mp but it looks like 13mp,1,Worst camera Camera is very poor.. though they mentioned 48mp but it looks like 13mp,negative,worst camera camera poor though mention mp look like mp,84,15,1,4.666666666666667,15,5,0,0,0,-0.1272,[],0,2,2,3
Everything is just lit at this price🔥 . No complains about anything,"It's a real monster. Everything is awesome from display to processor EVERYTHING. Fingerprint works very fast. Battery life is also really huge. Those who are not in favour of camera quality they're wrong camera quality is just awesome, size of pic goes more than 20MB from main 48mp camera. Must buy product. Really happy from it 😌. Once again no complains regarding anything.",5,"Everything is just lit at this price🔥 . No complains about anything It's a real monster. Everything is awesome from display to processor EVERYTHING. Fingerprint works very fast. Battery life is also really huge. Those who are not in favour of camera quality they're wrong camera quality is just awesome, size of pic goes more than 20MB from main 48mp camera. Must buy product. Really happy from it 😌. Once again no complains regarding anything.",positive,everyth lit price complain anyth real monster everyth awesom display processor everyth fingerprint work fast batteri life also realli huge favour camera qualiti wrong camera qualiti awesom size pic goe mb main mp camera must buy product realli happi complain regard anyth,444,75,9,4.933333333333334,64,31,0,0,2,0.9306,"['🔥', '😌']",2,18,7,9
Go For It,I am giving this review after usage of 2 daysI bought this phone only for two req 1. Battery and Camera.1. BatteryBang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are  absolutely non sense.I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 %2. Camera is decent its ok to have good clicks from this phoneLast but not least Its Made in India!!If anyone is looking for Battery phone just go for this,4,Go For It I am giving this review after usage of 2 daysI bought this phone only for two req 1. Battery and Camera.1. BatteryBang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are  absolutely non sense.I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 %2. Camera is decent its ok to have good clicks from this phoneLast but not least Its Made in India!!If anyone is looking for Battery phone just go for this,positive,go give review usag daysi bought phone two req batteri camera batterybang last half day unnecessari app pre instal pleas remov one takatak snapchat absolut non sens play call duti straight hour non stop batteri drain camera decent ok good click phonelast least made india anyon look batteri phone go,530,100,6,4.3,81,43,2,0,1,0.6615,[],0,16,13,8
Just a PowerBank with 12 mp camera attached.,Look is average. Battery life is good. Only go ahead if you just need a good brand name otherwise 100 of options are available in market. You will definitely get disappointed with camera which is actually not more than 12 mega pixels.  This phone nothing but a PowerBank with 12 mp camera attached. Samsung must call back these phones as it is definitely going to kill the brand name. I will highly appreciate if Amazon has the guts to publish this review. This is an open challenge to Amazon...,1,Just a PowerBank with 12 mp camera attached. Look is average. Battery life is good. Only go ahead if you just need a good brand name otherwise 100 of options are available in market. You will definitely get disappointed with camera which is actually not more than 12 mega pixels.  This phone nothing but a PowerBank with 12 mp camera attached. Samsung must call back these phones as it is definitely going to kill the brand name. I will highly appreciate if Amazon has the guts to publish this review. This is an open challenge to Amazon...,negative,powerbank mp camera attach look averag batteri life good go ahead need good brand name otherwis option avail market definit get disappoint camera actual mega pixel phone noth powerbank mp camera attach samsung must call back phone definit go kill brand name highli appreci amazon gut publish review open challeng amazon,540,97,9,4.56701030927835,74,42,0,0,1,0.7674,[],0,20,13,6
"Disappointed with mobile, Gpay & PhonePay app has issue","Disappointed with this mobile.... PhonePay & GooglePay apps are not working properly.... Numbers visible only half and getting overlapped....and we're end up typing wrong Pin numbers.... multiple times we have changed the Pin for these apps... now a days We regularly use mobile for online payments but this mobile is not useful for online payments due to app issues.We have tried to return this mobile, but Amazon return policy date was over by the time we found the issue.",1,"Disappointed with mobile, Gpay & PhonePay app has issue Disappointed with this mobile.... PhonePay & GooglePay apps are not working properly.... Numbers visible only half and getting overlapped....and we're end up typing wrong Pin numbers.... multiple times we have changed the Pin for these apps... now a days We regularly use mobile for online payments but this mobile is not useful for online payments due to app issues.We have tried to return this mobile, but Amazon return policy date was over by the time we found the issue.",negative,disappoint mobil gpay phonepay app issu disappoint mobil phonepay googlepay app work properli number visibl half get overlap end type wrong pin number multipl time chang pin app day regularli use mobil onlin payment mobil use onlin payment due app issu tri return mobil amazon return polici date time found issu,530,88,7,5.034090909090909,66,35,0,0,0,-0.7359,[],0,21,12,7
